Возраст;Место опроса;Местный;Символ города;Слава Кургана и области;Регион;Сибирь или Урал;Другие города;Казахстан;Когда был(а) в Казахстане?
30;Городской сад;Да;2 холма;история, 2 холма, хорошие люди;Сибирь;Сибирь;Уральские города;Да;1-5 лет
60;Городской сад;Да;2 холма;военная техника, СХ, автобусы, первые обрабатывающие станки, лекарства;Зауралье;Зауралье;многие;Да;1-5 лет
30;Городской сад;Да;церковь Александра Невского;оборонка, СХ;УФО;между;Екатеринбург, Новосибирск;Да;6-25 лет
35;Городской сад;Нет;затрудняется;оборонка;Южный Урал;Урал;Тюмень, Екатеринбург;Да;Менее месяца
70;Городской сад;Да;городской сад;Илизаров, Витебский;Зауралье;Урал;Ташкент, Екатеринбург, Кизел, Пышма, Асбест;Да;6-25 лет
35;Городской сад;Да;площадь;полезные ископаемые, Илизаров, художники;Сибирь;Сибирь;Красноярск, Челябинск;Нет;
65;Городской сад;Да;центр Илизарова;Илизаров;Зауралье;Урал;Екатеринбург, Уральские города;Нет;
28;Городской сад;Да;центр Илизарова;завод КМЗ, завод СтальМост;Урал;Урал;;Да;6-25 лет
35;Городской сад;Да;площадь;центр Илизарова;Зауралье;Урал;Уральские города;Нет;
65;Городской сад;Нет;2 холма, набережная;;Зауралье;Урал;многие;Да;Менее года
50;Додо пицца;Да;центр Илизарова;Илизаров, Мальцев;Уральский;Урал;многие;Да;В 90-е
40;Городской сад;Да;нет такого;Мальцев;Зауралье;Сибирь;Екатеринбург, Тюмень, Шадринск, Челябинск;Да;Во время СССР
37;Городской сад;Да;центр Илизарова;СХ, Илизаров, добыча урана;Уральский;Урал;многие;Да;Менее года
88;Городской сад;Да;родная школа;Илизаров, СХ;Зауралье;Зауралье;Оренбург, Екатеринбург, Челябинск;Да;Во время СССР
30;Городской сад;Да;центр Илизарова;Илизаров;Зауралье;Урал;Тюмень;Нет;
30;Городской сад;Да;Царево городище;озеро Медвежка, лечебная грязь, Илизаров, завод СтальМост, пиво;УФО;Урал;многие;Нет;
19;ЦПКиО;Да;хоккейный клуб;центр Илизарова;Урал;Урал;Уральские города, Южные города;Да;Менее года
28;ЦПКиО;Да;нет такого;затрудняется;Урал;Урал;многие;Да;Менее года
47;ЦПКиО;Да;площадь, вечный огонь;Илизаров, Мальцев, хоккейная команда;не Урал и не Сибирь;Урал;Екатеринбург;Нет;
35;ЦПКиО;Да;площадь;центр Илизарова, СХ;Урал;Урал;Уральские города;Да;6-25 лет
50;Такси до гостиницы о Додо пиццы;Да;КМЗ, СХ, центр Илизарова;КМЗ, СХ, центр Илизарова, хорошие люди;Сибирь;Сибирь;многие;Да;Во время СССР
45;Парк Победы;Да;2 холма;СХ;Зауралье;Урал;Тюмень, Екатеринбург;Нет;
45;Парк Победы;Да;2 холма;Илизаров;Зауралье;Урал;Екатеринбург;Нет;
35;Парк Победы;Да;природа;Витебский;Зауралье;Урал;Челябинск;Нет;
